lng,lat
113.309204,23.15203
113.30871,23.152109
113.308131,23.152277
113.30738,23.152533
113.305931,23.153135
113.304279,23.153786
113.303625,23.153954
113.303163,23.154023
113.302648,23.154033
113.301994,23.154003
113.300213,23.153905
113.298207,23.153786
113.297209,23.153737
113.296479,23.153737
113.295449,23.153816
113.293894,23.153905
113.292853,23.153917
113.291853,23.153874
113.291059,23.153835
113.289343,23.153795
113.288227,23.153776
113.287406,23.153811
113.286818,23.15393
113.286225,23.154107
113.285563,23.154452
113.285064,23.154778
113.284036,23.155514
113.283114,23.156761
113.282266,23.158037
113.281296,23.160484
113.280906,23.161305
113.280708,23.161522
113.280402,23.161808
113.279865,23.161936
113.279189,23.161906
113.277242,23.161761
113.276118,23.161656
113.272854,23.161505
113.272081,23.161357
113.271523,23.161189
113.27118,23.160952
113.270783,23.160538
113.270407,23.159877
113.268992,23.157208
113.268176,23.155938
113.267876,23.155376
113.267615,23.155149
113.267272,23.154961
113.26466,23.154048
113.263033,23.153492
113.262202,23.153208
113.261849,23.153091
113.261549,23.152982
113.261254,23.152866
113.261022,23.152756
113.260829,23.152655
113.260714,23.152578
113.260616,23.152486
113.260546,23.152394
113.260452,23.152237
113.260247,23.151862
113.259973,23.151374
113.258712,23.149145
113.257792,23.147578
113.257534,23.147126
113.257355,23.146799
113.257251,23.146557
113.257174,23.146339
113.257133,23.14618
113.257113,23.146012
113.257105,23.145853
113.257124,23.14483
113.257149,23.14232
113.257184,23.139449
113.25719,23.139087
113.257103,23.138475
113.257041,23.138144
113.256901,23.137775
113.25666,23.137457
113.256394,23.136927
113.255955,23.13584
113.255838,23.135679
113.255505,23.135457
113.254961,23.13524
113.253825,23.134685
113.252527,23.134192
113.252026,23.134039
113.251867,23.134
113.251643,23.133958
113.251283,23.133923
113.250768,23.133896
113.250299,23.133911
113.249741,23.13396
113.249178,23.134062
113.24859,23.1342
113.248034,23.13438
113.246312,23.134987
113.24472,23.135539
113.243646,23.135924
113.243453,23.135963
113.243195,23.135967
113.24293,23.135969
113.242619,23.135957
113.242326,23.135905
113.242106,23.135838
113.241794,23.13569
113.241575,23.13557
113.241167,23.135225
113.240567,23.134623
113.239311,23.133478
113.238807,23.132837
113.237122,23.131244
113.23702,23.131118
113.236942,23.13101
113.235921,23.128959
113.234811,23.127072
113.234272,23.126665
113.233575,23.126145
113.232289,23.125063
113.231837,23.124424
113.2317,23.124246
113.231623,23.124086
113.23156,23.123896
113.231501,23.123602
113.23144,23.123294
113.23143,23.123099
113.231405,23.122813
113.231389,23.122497
113.231437,23.122241
113.231523,23.121886
113.231591,23.12167
113.231759,23.121333
113.232277,23.120377
113.232414,23.120119
113.232538,23.119907
113.232812,23.119162
113.233115,23.118235
113.233184,23.117648
113.233206,23.117184
113.233136,23.116829
113.233002,23.116454
113.232766,23.116059
113.232434,23.115775
113.231208,23.114978
113.223403,23.111748
113.222607,23.11126
113.221609,23.110402
113.220751,23.109306
113.220418,23.1083
113.220332,23.107412
113.220442,23.106242
113.220718,23.105872
113.220885,23.105708
113.22115,23.105531
113.222575,23.104866
113.223982,23.104189
113.225207,23.103586
113.236547,23.098285
113.239128,23.097124
113.239911,23.096788
113.240314,23.096526
113.240684,23.096221
113.241033,23.095804
113.241411,23.095145
113.244654,23.088937
113.245265,23.08772
113.245426,23.087315
113.245635,23.086693
113.247369,23.083408
113.24769,23.082873
113.247742,23.082758
113.247781,23.082652
113.248163,23.081658
113.248748,23.080434
113.24915,23.079526
113.2493,23.078638
113.25006,23.073557
113.250108,23.073397
113.25063,23.072038
113.25126,23.070513
113.25155,23.069896
113.251695,23.069753
113.251882,23.069645
113.252017,23.0696
113.252129,23.06959
113.252285,23.0696
113.252564,23.069635
113.264429,23.072846
113.265977,23.073093
113.266372,23.073187
113.2666,23.073251
113.266846,23.07336
113.267168,23.073537
113.271956,23.076797
113.272791,23.077688
113.27333,23.078343
113.273856,23.079163
113.274274,23.079804
113.274435,23.080179
113.274907,23.080594
113.275803,23.081016
113.276533,23.081202
113.276935,23.081335
113.277609,23.081532
113.278975,23.081901
113.281069,23.082273
113.28147,23.082288
113.281906,23.082288
113.295037,23.082017
113.295438,23.082007
113.296782,23.082014
113.30276,23.082005
113.304165,23.081997
113.305262,23.081995
113.305638,23.081995
113.306029,23.081985
113.306431,23.08197
113.306702,23.08195
113.307313,23.081949
113.307828,23.081879
113.308472,23.081771
113.309158,23.081613
113.311964,23.080374
113.312833,23.079787
113.313613,23.07923
113.313887,23.079077
113.314152,23.078914
113.314378,23.078781
113.31528,23.078375
113.315698,23.078168
113.315999,23.078097
113.316273,23.078097
113.323249,23.077969
113.331999,23.077925
113.334718,23.077955
113.336006,23.078078
113.340364,23.079198
113.343807,23.079875
113.346629,23.080329
113.349751,23.080842
113.354745,23.081997
